,dt_reference,id_city_origin,id_city_destination,freight_cost,distance
248,05/08/2022,5107875.0,4118204.0,515.0,2364.51
249,26/08/2022,5107875.0,4118204.0,455.0,2364.51
250,09/09/2022,5107875.0,4118204.0,465.0,2364.51
251,23/09/2022,5107875.0,4118204.0,487.0,2364.51
252,30/09/2022,5107875.0,4118204.0,402.0,2364.51
253,14/10/2022,5107875.0,4118204.0,410.0,2364.51
254,21/10/2022,5107875.0,4118204.0,390.0,2364.51
255,16/12/2022,5107875.0,4118204.0,460.0,2364.51
256,03/02/2023,5107875.0,4118204.0,450.0,2364.51
257,10/02/2023,5107875.0,4118204.0,550.0,2364.51
258,24/02/2023,5107875.0,4118204.0,500.0,2364.51
259,10/03/2023,5107875.0,4118204.0,470.0,2364.51
260,23/06/2023,5107875.0,4118204.0,520.0,2364.51
261,07/07/2023,5107875.0,4118204.0,526.0,2364.51
262,21/07/2023,5107875.0,4118204.0,535.0,2364.51
263,04/08/2023,5107875.0,4118204.0,507.5,2364.51
264,11/08/2023,5107875.0,4118204.0,505.0,2364.51
265,25/08/2023,5107875.0,4118204.0,497.5,2364.51
266,15/09/2023,5107875.0,4118204.0,529.67,2364.51
267,22/09/2023,5107875.0,4118204.0,530.0,2364.51
268,29/09/2023,5107875.0,4118204.0,531.67,2364.51
269,06/10/2023,5107875.0,4118204.0,545.0,2364.51
270,13/10/2023,5107875.0,4118204.0,537.5,2364.51
271,27/10/2023,5107875.0,4118204.0,483.0,2364.51
272,17/11/2023,5107875.0,4118204.0,525.0,2364.51
273,24/11/2023,5107875.0,4118204.0,517.5,2364.51
274,19/01/2024,5107875.0,4118204.0,475.0,2364.51
275,26/01/2024,5107875.0,4118204.0,445.0,2364.51
276,16/02/2024,5107875.0,4118204.0,435.0,2364.51
277,01/03/2024,5107875.0,4118204.0,417.5,2364.51
278,15/03/2024,5107875.0,4118204.0,422.5,2364.51
279,22/03/2024,5107875.0,4118204.0,403.0,2364.51
280,19/04/2024,5107875.0,4118204.0,425.0,2364.51
281,26/04/2024,5107875.0,4118204.0,437.5,2364.51
282,03/05/2024,5107875.0,4118204.0,442.5,2364.51
283,05/07/2024,5107875.0,4118204.0,482.5,2364.51
284,07/01/2022,5105259.0,4118204.0,365.0,2127.16
285,21/01/2022,5105259.0,4118204.0,385.0,2127.16
286,28/01/2022,5105259.0,4118204.0,435.0,2127.16
287,04/02/2022,5105259.0,4118204.0,387.0,2127.16
288,11/02/2022,5105259.0,4118204.0,372.0,2127.16
289,18/02/2022,5105259.0,4118204.0,377.0,2127.16
